"Target","Start Time","Source Address","Source Port","Cached Associate Hostname","Associate Host Name","Destination Address","Domain","Destination Port","Transport Protocol","Active","Associate Address","Bytes","Case","City","Country Name","CountryCode","Direction","Duration","Encrypted","End Time","ISP","Latitude","Longitude","Packets","Ref.Num","Region","Session Protocol","Target Address","ZIP"
"26VCEB1368VZW","1/21/2026 1:05:07 PM","2001:4888:11:ff21:137:10d:0:72","33698","","","2600:1017:1115:5c70::5067:5e2a","","49218","udp","Yes","2001:4888:11:ff21:137:10d:0:72","536","CC25-990397","","","","incoming","00:00:00","No","1/21/2026 1:05:07 PM","","","","8","1082","","","2600:1017:1115:5c70::5067:5e2a",""
"26VCEB1368VZW","1/21/2026 1:05:06 PM","2001:4888:4:fe00:b0:104:0:223","35071","","","2600:1017:1115:5c70::5067:5e2a","","5060","tcp","Yes","","9319","CC25-990397","","","","unknown","00:01:03","No","1/21/2026 1:06:09 PM","","","","27","1079","","sip","",""
"26VCEB1368VZW","1/21/2026 1:05:06 PM","2001:4888:4:fe00:b0:104:0:223","5060","","","2600:1017:1115:5c70::5067:5e2a","","42909","tcp","Yes","","512","CC25-990397","","","","unknown","00:01:10","No","1/21/2026 1:06:16 PM","","","","8","1080","","sip","",""
"26PDT3101TMO","1/21/2026 12:55:41 PM","2607:7700:0:e:0:2:11bc:a89e","3491","","","2607:fb91:219a:8a06:4446:a657:5b5c:c388","","16404","udp","Yes","","2897","23C0624808","","","","unknown","00:00:00","No","1/21/2026 12:55:41 PM","","","","12","1379","","","",""
"25FCB6118TMO","1/21/2026 12:33:35 PM","2607:7700:0:e:0:2:2cd5:c928","443","","","2607:fb91:21c4:868e:8899:de82:9583:7141","","52350","tcp","Yes","2607:7700:0:e:0:2:2cd5:c928","60","CC25-990248","","","","incoming","00:00:00","No","1/21/2026 12:33:35 PM","","","","1","8072","","https","2607:fb91:21c4:868e:8899:de82:9583:7141",""
"26PDT3101TMO","1/21/2026 12:26:34 PM","2620:149:a44:1100::4","5223","","","2607:fb91:219a:8a06:88b:d9b4:9ded:5c7d","","63970","tcp","Yes","","2100","23C0624808","","","","unknown","01:18:29","No","1/21/2026 1:45:03 PM","","","","19","1378","","hpvirtgrp","",""
"25FCB6118TMO","1/21/2026 12:02:38 PM","fd00:976a::9","53","","","2607:fb91:21c4:868e:8899:de82:9583:7141","","0","udp","Yes","fd00:976a::9","438","CC25-990248","","","","incoming","02:00:48","No","1/21/2026 2:03:26 PM","","","","2","8071","","","2607:fb91:21c4:868e:8899:de82:9583:7141",""
"26VCEB1368VZW","1/21/2026 11:39:55 AM","2600:1017:1115:5c70::5067:5e2a","5060","","","2001:4888:4:fe00:b0:104:0:223","","5060","udp","Yes","","2986","CC25-990397","","","","unknown","00:00:00","No","1/21/2026 11:39:55 AM","","","","3","1078","","sip","",""
"25FCB6118TMO","1/21/2026 11:21:38 AM","2607:7700:0:e:0:2:3d7:c149","443","","","2607:fb91:21c4:868e:8899:de82:9583:7141","","52338","tcp","Yes","","60","CC25-990248","","","","unknown","00:00:00","No","1/21/2026 11:21:38 AM","","","","1","8070","","https","",""
"26PDT3101TMO","1/21/2026 11:16:18 AM","2620:149:a44:1100::4","5223","","","2607:fb91:219a:8a06:88b:d9b4:9ded:5c7d","","63970","tcp","Yes","","1554","23C0624808","","","","unknown","01:00:14","No","1/21/2026 12:16:32 PM","","","","16","1377","","hpvirtgrp","",""
"26PDT3101TMO","1/21/2026 11:06:06 AM","2607:fb91:219a:8a06:4446:a657:5b5c:c388","","","","2620:149:a41:20d::f","","","ipv6-icmp","Yes","2620:149:a41:20d::f","252","23C0624808","","","","outgoing","00:00:00","No","1/21/2026 11:06:06 AM","","","","2","1376","","","2607:fb91:219a:8a06:4446:a657:5b5c:c388",""
"25FCB6118TMO","1/21/2026 10:56:56 AM","2607:7700:0:e:0:2:3d7:c149","443","","","2607:fb91:21c4:868e:8899:de82:9583:7141","","52332","tcp","Yes","","60","CC25-990248","","","","unknown","00:00:00","No","1/21/2026 10:56:56 AM","","","","1","8069","","https","",""
"26PDT3101TMO","1/21/2026 10:19:43 AM","2607:7700:0:e:0:2:3a3:f504","443","","","2607:fb91:219a:8a06:4446:a657:5b5c:c388","","53832","udp","Yes","2607:7700:0:e:0:2:3a3:f504","5821537","23C0624808","","","","incoming","00:00:01","No","1/21/2026 10:19:44 AM","","","","3900","1375","","https","2607:fb91:219a:8a06:4446:a657:5b5c:c388",""
"25FCB6118TMO","1/21/2026 10:11:06 AM","2620:149:a44:1100::4","5223","","","2607:fb91:21c4:868e:1083:5a33:e61c:2b38","","61677","tcp","Yes","","682","CC25-990248","","","","unknown","00:32:52","No","1/21/2026 10:43:58 AM","","","","7","8068","","hpvirtgrp","",""
"26PDT3101TMO","1/21/2026 10:09:21 AM","fd00:976a::9","53","","","2607:fb91:219a:8a06:4446:a657:5b5c:c388","","0","udp","Yes","","1814","23C0624808","","","","unknown","00:42:56","No","1/21/2026 10:52:17 AM","","","","9","1374","","","",""
"25FCB6118TMO","1/21/2026 9:43:02 AM","fd00:976a::9","53","","","2607:fb91:21c4:868e:8899:de82:9583:7141","","0","udp","Yes","","297","CC25-990248","","","","unknown","00:00:00","No","1/21/2026 9:43:02 AM","","","","1","8067","","","",""
"26PDT3101TMO","1/21/2026 9:36:56 AM","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","","","2a04:4e42:46::774","","","ipv6-icmp","Yes","2a04:4e42:46::774","2560","23C0624808","","","","outgoing","00:00:00","No","1/21/2026 9:36:56 AM","","","","2","1373","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26VCEB1368VZW","1/21/2026 9:31:23 AM","2001:4888:4:fe00:b0:104:0:223","5060","","","2600:1017:1115:5c70::5067:5e2a","","5060","udp","Yes","","10647","CC25-990397","","","","unknown","02:08:32","No","1/21/2026 11:39:55 AM","","","","16","1077","","sip","",""
"26PDT3101TMO","1/21/2026 9:27:36 AM","fd00:976a::9","53","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","0","udp","Yes","fd00:976a::9","837","23C0624808","","","","incoming","00:33:25","No","1/21/2026 10:01:01 AM","","","","4","1372","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 9:03:56 AM","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","","","2607:7700:0:e:0:2:17db:246b","","","ipv6-icmp","Yes","2607:7700:0:e:0:2:17db:246b","3766","23C0624808","","","","outgoing","00:00:00","No","1/21/2026 9:03:56 AM","","","","3","1371","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:50:32 AM","2605:340:f0ab::54","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","64214","udp","Yes","2605:340:f0ab::54","9069470","23C0624808","","","","incoming","00:00:01","No","1/21/2026 8:50:33 AM","","","","7254","1370","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:50:32 AM","2607:7700:0:e:0:2:17db:246b","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","56484","udp","Yes","2607:7700:0:e:0:2:17db:246b","49542","23C0624808","","","","incoming","00:00:23","No","1/21/2026 8:50:55 AM","","","","41","1369","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:50:32 AM","2607:7700:0:e:0:2:17db:2469","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49665","tcp","Yes","2607:7700:0:e:0:2:17db:2469","10291","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:50:32 AM","","","","10","1368","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:49:24 AM","2605:340:f0ab::54","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","55516","udp","Yes","2605:340:f0ab::54","3130091","23C0624808","","","","incoming","00:00:14","No","1/21/2026 8:49:38 AM","","","","2658","1367","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:49:24 AM","2607:7700:0:e:0:2:17db:2465","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49664","tcp","Yes","2607:7700:0:e:0:2:17db:2465","838","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:49:24 AM","","","","3","1366","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:49:20 AM","2607:7700:0:e:0:2:17db:2465","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","52169","udp","Yes","2607:7700:0:e:0:2:17db:2465","418496","23C0624808","","","","incoming","00:00:16","No","1/21/2026 8:49:36 AM","","","","319","1365","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:48:11 AM","2607:7700:0:e:0:2:17db:2465","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","52129","udp","Yes","2607:7700:0:e:0:2:17db:2465","37837","23C0624808","","","","incoming","00:00:01","No","1/21/2026 8:48:12 AM","","","","39","1364","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:48:07 AM","2607:7700:0:e:0:2:17db:2465","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49656","tcp","Yes","2607:7700:0:e:0:2:17db:2465","279","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:48:07 AM","","","","3","1363","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:48:07 AM","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","","","fd00:976a::9","","","ipv6-icmp","Yes","fd00:976a::9","437","23C0624808","","","","outgoing","00:05:56","No","1/21/2026 8:54:03 AM","","","","2","1362","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:47:58 AM","2607:7700:0:e:0:2:9765:7649","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49649","tcp","Yes","2607:7700:0:e:0:2:9765:7649","312","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:47:58 AM","","","","4","1361","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:47:40 AM","2607:7700:0:e:0:2:17db:2467","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49655","tcp","Yes","2607:7700:0:e:0:2:17db:2467","168","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:47:40 AM","","","","2","1360","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:47:26 AM","2607:7700:0:e:0:2:17db:2466","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49654","tcp","Yes","2607:7700:0:e:0:2:17db:2466","537","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:47:26 AM","","","","2","1359","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:46:51 AM","2605:340:f0ab::54","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49653","tcp","Yes","2605:340:f0ab::54","72","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:46:51 AM","","","","1","1358","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:46:13 AM","2607:7700:0:e:0:2:17db:2468","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49636","tcp","Yes","2607:7700:0:e:0:2:17db:2468","11681","23C0624808","","","","incoming","00:03:19","No","1/21/2026 8:49:32 AM","","","","17","1357","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:44:57 AM","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","","","2607:f8b0:4006:80b::200e","","","ipv6-icmp","Yes","2607:f8b0:4006:80b::200e","122","23C0624808","","","","outgoing","00:00:00","No","1/21/2026 8:44:57 AM","","","","1","1356","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:44:32 AM","2605:340:f0ab::54","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49645","tcp","Yes","2605:340:f0ab::54","473","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:44:32 AM","","","","3","1355","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:44:09 AM","2607:7700:0:e:0:2:17db:246b","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","52380","udp","Yes","2607:7700:0:e:0:2:17db:246b","23870","23C0624808","","","","incoming","00:06:45","No","1/21/2026 8:50:54 AM","","","","53","1354","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:44:08 AM","2607:7700:0:e:0:2:17d2:4995","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49633","tcp","Yes","2607:7700:0:e:0:2:17d2:4995","17390","23C0624808","","","","incoming","00:04:03","No","1/21/2026 8:48:11 AM","","","","16","1353","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:43:36 AM","2607:7700:0:e:0:2:c7e8:2733","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49630","tcp","Yes","2607:7700:0:e:0:2:c7e8:2733","1098","23C0624808","","","","incoming","00:06:00","No","1/21/2026 8:49:36 AM","","","","12","1352","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:43:16 AM","2605:340:f0ab::54","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49635","tcp","Yes","2605:340:f0ab::54","240","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:43:16 AM","","","","3","1351","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:42:53 AM","2605:340:f0ab::54","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","53468","udp","Yes","2605:340:f0ab::54","24643764","23C0624808","","","","incoming","00:05:19","No","1/21/2026 8:48:12 AM","","","","21688","1350","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:42:46 AM","2a04:4e42:46::585","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49172","udp","Yes","2a04:4e42:46::585","586","23C0624808","","","","incoming","00:04:02","No","1/21/2026 8:46:48 AM","","","","8","1349","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:42:43 AM","2607:7700:0:e:0:2:17db:246a","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49381","udp","Yes","2607:7700:0:e:0:2:17db:246a","87474","23C0624808","","","","incoming","00:00:09","No","1/21/2026 8:42:52 AM","","","","89","1348","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:42:07 AM","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","","","2607:7700:0:e:0:2:c7e8:2733","","","ipv6-icmp","Yes","2607:7700:0:e:0:2:c7e8:2733","8102","23C0624808","","","","outgoing","00:00:00","No","1/21/2026 8:42:07 AM","","","","8","1347","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:40:19 AM","2607:7700:0:e:0:2:17db:2467","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49627","tcp","Yes","2607:7700:0:e:0:2:17db:2467","264","23C0624808","","","","incoming","00:00:31","No","1/21/2026 8:40:50 AM","","","","3","1346","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:38:09 AM","2a04:4e42:1c::159","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","56153","tcp","Yes","2a04:4e42:1c::159","57709","23C0624808","","","","incoming","00:00:07","No","1/21/2026 8:38:16 AM","","","","46","1345","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:38:07 AM","2607:7700:0:e:0:2:6812:2492","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","56154","tcp","Yes","2607:7700:0:e:0:2:6812:2492","2648","23C0624808","","","","incoming","00:01:13","No","1/21/2026 8:39:20 AM","","","","6","1344","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:38:06 AM","2607:7700:0:e:0:2:a29f:8ce5","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","56152","tcp","Yes","2607:7700:0:e:0:2:a29f:8ce5","17489","23C0624808","","","","incoming","00:03:24","No","1/21/2026 8:41:30 AM","","","","116","1343","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:38:04 AM","2607:7700:0:e:0:2:a29f:8ce5","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","56151","tcp","Yes","2607:7700:0:e:0:2:a29f:8ce5","326521","23C0624808","","","","incoming","00:03:32","No","1/21/2026 8:41:36 AM","","","","735","1342","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:38:02 AM","2a04:4e42:1c::158","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","56165","tcp","Yes","2a04:4e42:1c::158","113526185","23C0624808","","","","incoming","00:03:36","No","1/21/2026 8:41:38 AM","","","","80940","1341","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:35:27 AM","2a03:2880:f012:3:face:b00c:0:1","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49626","tcp","Yes","2a03:2880:f012:3:face:b00c:0:1","287","23C0624808","","","","incoming","00:01:04","No","1/21/2026 8:36:31 AM","","","","3","1340","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"25FCB6118TMO","1/21/2026 8:33:52 AM","2607:7700:0:e:0:2:3dd:1024","443","","","2607:fb91:21c6:9ce0:3464:ac30:213a:9968","","52324","tcp","Yes","2607:7700:0:e:0:2:3dd:1024","60","CC25-990248","","","","incoming","00:00:00","No","1/21/2026 8:33:52 AM","","","","1","8066","","https","2607:fb91:21c6:9ce0:3464:ac30:213a:9968",""
"26PDT3101TMO","1/21/2026 8:31:09 AM","2607:7700:0:e:0:2:9765:7649","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49619","tcp","Yes","2607:7700:0:e:0:2:9765:7649","168","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:31:09 AM","","","","2","1339","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:29:54 AM","2607:7700:0:e:0:2:9765:7649","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49613","tcp","Yes","2607:7700:0:e:0:2:9765:7649","219","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:29:54 AM","","","","2","1338","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:29:29 AM","2607:7700:0:e:0:2:17d2:4965","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49595","tcp","Yes","2607:7700:0:e:0:2:17d2:4965","168","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:29:29 AM","","","","2","1337","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:26:26 AM","2607:7700:0:e:0:2:23f4:c321","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49586","tcp","Yes","2607:7700:0:e:0:2:23f4:c321","417","23C0624808","","","","incoming","00:00:06","No","1/21/2026 8:26:32 AM","","","","4","1336","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:25:02 AM","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","","","2606:4700::6812:eef","","","ipv6-icmp","Yes","2606:4700::6812:eef","118","23C0624808","","","","outgoing","00:00:00","No","1/21/2026 8:25:02 AM","","","","1","1335","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:24:54 AM","2a03:2880:f012:3:face:b00c:0:1","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49622","tcp","Yes","2a03:2880:f012:3:face:b00c:0:1","359","23C0624808","","","","incoming","00:01:02","No","1/21/2026 8:25:56 AM","","","","4","1334","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:24:23 AM","2607:f8b0:4006:81e::200a","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49615","tcp","Yes","2607:f8b0:4006:81e::200a","345","23C0624808","","","","incoming","00:00:04","No","1/21/2026 8:24:27 AM","","","","3","1333","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:23:28 AM","2607:7700:0:e:0:2:6c8b:2f7b","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49612","tcp","Yes","2607:7700:0:e:0:2:6c8b:2f7b","183","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:23:28 AM","","","","2","1332","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:22:29 AM","2607:7700:0:e:0:2:17db:246f","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49602","tcp","Yes","2607:7700:0:e:0:2:17db:246f","168","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:22:29 AM","","","","2","1331","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:22:23 AM","2607:7700:0:e:0:2:17db:2469","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49616","tcp","Yes","2607:7700:0:e:0:2:17db:2469","168","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:22:23 AM","","","","2","1330","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:22:10 AM","2a03:2880:f212:c4:face:b00c:0:43fe","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","63633","udp","Yes","2a03:2880:f212:c4:face:b00c:0:43fe","354880","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:22:10 AM","","","","281","1329","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:22:07 AM","2a03:2880:f212:e5:face:b00c:0:4420","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","51020","udp","Yes","2a03:2880:f212:e5:face:b00c:0:4420","5448","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:22:07 AM","","","","10","1328","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:21:45 AM","2607:7700:0:e:0:2:ac40:976e","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","56132","tcp","Yes","2607:7700:0:e:0:2:ac40:976e","1348632956","23C0624808","","","","incoming","00:16:16","No","1/21/2026 8:38:01 AM","","","","991725","1327","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
"26PDT3101TMO","1/21/2026 8:20:47 AM","2607:7700:0:e:0:2:17d2:49a7","443","","","2607:fb90:fead:702:acd2:47b8:e7d9:3225","","49607","tcp","Yes","2607:7700:0:e:0:2:17d2:49a7","240","23C0624808","","","","incoming","00:00:00","No","1/21/2026 8:20:47 AM","","","","3","1326","","https","2607:fb90:fead:702:acd2:47b8:e7d9:3225",""
